Rank,Social trend name (from input),Underlying topic (from input),Related terms (clean),Related terms with sources,Related hashtags,Key sources
1,Great Lock-In,TikTok “grind season”,grind season; September Lock-In; Winter Arc; Locking In; wellness-driven hibernation period; lazy girl summer,grind season (dailydot.com); September Lock-In (newsweek.com); Winter Arc (pedestrian.tv); Locking In (marblewellness.com); wellness-driven hibernation period (newsweek.com); lazy girl summer (marblewellness.com),#lockin; #thegreatlockin; #lockingin,"Daily Dot (online news, 2025-09-04, https://www.dailydot.com/culture/the-great-lock-in); Pedestrian.tv (web, 2025-09-11, https://www.pedestrian.tv/culture/the-great-lock-in); Newsweek (web, 2025-09-03, https://www.newsweek.com/lock-trend-explained-tiktok-fitness-wellness-gen-z-2123736); Marble Wellness (blog, 2025-09-16, https://marblewellness.com/post/locking-in-thoughts-fall-trend)"
2,3×3-by-12 Routine,TikTok “wellness hack”,3x3 by 12 pm challenge; 3x3 by 12 routine; morning wellness routine; TikTok 3x3 by 12 health trend,3x3 by 12 pm challenge (foxnews.com); 3x3 by 12 routine (health.yahoo.com); morning wellness routine (foxnews.com); 3x3 by 12 health trend (health.yahoo.com),,"Fox News (web, 2025-10-19, https://www.foxnews.com/health/viral-morning-wellness-routine-promises-more-energy-focus-noon); Yahoo Health (web, 2025-09-17, https://www.yahoo.com/lifestyle/tried-tiktoks-3x3-12-health-184215782.html)"
3,Three-Bite Rule,TikTok dieting gimmick (#ThreeBiteRule),three bite rule; mindful eating strategy,three bite rule (marieclaire.co.uk); mindful eating strategy (marieclaire.co.uk),#ThreeBiteRule,"Marie Claire UK (web, 2025-08-18, https://www.marieclaire.co.uk/life/health-fitness/tiktok-three-bite-rule); Cosmopolitan FR (magazine, 2025-08-22, https://www.cosmopolitan.fr/three-bite-rule-sur-tiktok-en-quoi-consiste-cette-tendance-vantant-les-merites-de-l-alimentation-consciente,2140133.asp); Doctissimo.fr (website, 2025-09-02, https://www.doctissimo.fr/nutrition/regimes-alimentaires-et-perte-de-poids/dangers-des-regimes/cette-tendance-tiktok-promet-de-maigrir-en-trois-bouchees-mais-a-quel-prix-405761.htm)"
4,Fibremaxxing,TikTok nutrition trend,fibermaxxing; fibremaxxing; fiber-rich foods; fiber intake,fibermaxxing (healthline.com); fiber-rich foods (cnn.com),#fibermaxxing,"Healthline (web, 2025-05-28, https://www.healthline.com/health-news/fibermaxxing-tiktok-nutrition-trend-health-benefits); CNN (web, 2025-07-26, https://amp.cnn.com/cnn/2025/07/26/health/fibermaxxing-tiktok-trend-fiber-benefits-wellness)"
5,30-30-3 Diet Hack,TikTok eating guideline,30-30-3 method; 30/30/3 protocol; gut reset diet hack,30-30-3 method (everygirl.com); 30/30/3 protocol (hit30g.com),,"The Everygirl (site, 2025-09-26, https://theeverygirl.com/30-30-3-method-for-gut-health); Hit30g (web, 2025-02-15, https://www.hit30g.com/guides/what-is-30-30-3)"
6,“50 Jumps” Morning Challenge,TikTok micro-challenge,50 jumps challenge; 50-jump trend; wake-up exercise hack; morning jump routine,50 jumps challenge (tomsguide.com); 50-jump trend (sunny923.com),,"Tom’s Guide (web, 2026-01-13, https://www.tomsguide.com/wellness/fitness/jumping-50-times-as-soon-as-you-wake-up-is-the-tiktok-trend-going-viral-and-it-claims-to-boost-energy-mood-and-metabolism); Sunny 92.3 (site, 2025-10-03, https://www.sunny923.com/have-you-tried-tiktoks-50-jump-trend)"
7,“Soft January” (the opposite of Dry January),–,Soft January; quiet reset; kinder New Year,Soft January (scmp.com); quiet reset (scmp.com),,"South China Morning Post (news, 2026-01-24, https://www.scmp.com/lifestyle/health-wellness/article/3340772/what-soft-january-new-trend-helps-you-start-year-being-kinder-yourself); Yahoo Style France (site, 2026-01-16, https://fr.style.yahoo.com/soft-january-concept-cartonne-tiktok-142100425.html)"
8,Wellness Stacking,TikTok “life hack” craze,wellness stacking; Lazy Girl Self-Care Hack; habit pairing; ultimate self-care hack,wellness stacking (bustle.com); Lazy Girl Self-Care Hack (bustle.com); habit pairing (marieclaire.co.uk); ultimate self-care hack (marieclaire.co.uk),,"Bustle (web, 2024-08-28, https://www.bustle.com/wellness/wellness-stacking-tiktok); Marie Claire UK (web, 2025-11-17, https://www.marieclaire.co.uk/life/health-fitness/wellness-stacking)"
9,Tread-and-Tone Workouts,TikTok fitness format,Tread and Tone workout; treadmill dumbbell routine; strength-walking exercise,Tread and Tone workout (marieclaire.co.uk); treadmill dumbbell routine (tomsguide.com),,"Marie Claire UK (web, 2025-09-04, https://www.marieclaire.co.uk/life/health-fitness/tread-and-tone-workouts); Tom’s Guide (web, 2026-01-29, https://www.tomsguide.com/wellness/workouts/i-tried-7-days-of-the-tread-and-tone-walking-workout-its-not-for-everyone)"
10,“Snack-Sized Workouts” (Exercise Snacks),TikTok mini workouts,exercise snacks; snack-sized workouts; movement snacks; mini workouts,exercise snacks (forbes.com); snack-sized workouts (forbes.com); movement snacks (forbes.com); mini workouts (forbes.com),,"Forbes (web, 2025-12-23, https://www.forbes.com/sites/alyssajaffer/2025/12/23/wellness-trends-2026)"
