term_id,social_trend_name,underlying_topic,everme_category
wolverine-stack,Wolverine Stack,Peptides,Supplements
fiber-maxing,Fiber-maxing,Dietary Fiber,Diet & Nutrition
cortisol-face,Cortisol Face,Cortisol / Stress Hormones,Mental Wellness
mouth-taping,Mouth Taping,Nasal Breathing,Sleep & Recovery
cold-plunge,Cold Plunge,Cold Thermogenesis,Wellness Therapies
glp1-revolution,GLP-1 Revolution,GLP-1 Receptor Agonists,Prescription Medications
urolithin-a,Urolithin A,Mitochondrial Health,Supplements
akkermansia,Akkermansia,Gut Microbiome,Supplements
methylene-blue,Methylene Blue,Cellular Energy,Supplements
peptide-therapy,Peptide Therapy,Therapeutic Peptides,Advanced Medical Therapies
red-light-therapy,Red Light Therapy,Photobiomodulation,Wellness Therapies
spermidine,Spermidine,Autophagy,Supplements
