Rank,Social trend name (from input),Underlying topic (from input),Related terms (clean),Related terms with sources,Related hashtags,Key sources
1,Fibremaxxing,A viral TikTok nutrition challenge to maximize daily fiber intake (gut health),fibermaxxing; fibremaxxing; fibermax; increasing fiber intake; add more fiber to diet; fiber-rich foods; high-fiber foods; consuming as much fiber as possible; gut health; maximize fiber intake; eating tons of fiber; meeting recommended fiber intake,fibermaxxing (abcnews.go.com); fibremaxxing (vogue.co.uk); fibermax (forbes.com); increasing fiber intake (nbcchicago.com); add more fiber to diet (abcnews.go.com); fiber-rich foods (nbcchicago.com); high-fiber foods (self.com); consuming as much fiber as possible (self.com); gut health (self.com); maximize fiber intake (forbes.com); eating tons of fiber (abcnews.go.com); meeting recommended fiber intake (abcnews.go.com),#fibermaxxing,"Self (self.com, Nov 18, 2025, [SELF1](https://www.self.com/story/fibermaxxing-tiktok-trend)); Vogue UK (vogue.co.uk, Oct 8, 2025, [VOGUE4](https://www.vogue.co.uk/article/is-fibermaxxing-good)); NBC Chicago (CNBC) (nbcchicago.com, Jul 31, 2025, [NBC11](https://www.nbcchicago.com/news/business/money-report/fibermaxxing-is-trending-on-tiktok-its-pretty-safe-dietician-says-but-could-be-too-much-of-a-good-thing-if-youre-not-careful/3802859/)); ABC News (abcnews.go.com, Aug 1, 2025, [ABC45](https://abcnews.go.com/GMA/Food/fibermaxxing-food-trend-diet-tips/story?id=124277275)); Forbes (forbes.com, May 3, 2026, [FORBES27](https://www.forbes.com/sites/brucelee/2026/05/03/the-fibermaxxing-tiktok-trend-heres-whats-fact-versus-fiction/)); The Independent (the-independant.com, Jul 11, 2025, [IND8](https://www.the-independent.com/life-style/what-is-fibermaxxing-tiktok-trend-gut-health-diet-b2786962.html))"
2,“Anti-Aging” Peptide Stacks,DIY peptide shot cocktails for longevity,anti-aging peptide shots; peptide shots; peptide injections; peptide stack; wellness shots; daily injection; Wolverine stack; Fountain of Youth stack,anti-aging peptide shots (time.com); peptide shots (elle.com); peptide injections (elle.com); peptide stack (elle.com); wellness shots (elle.com); daily injection (elle.com); Wolverine stack (time.com); Fountain of Youth stack (time.com),No related hashtags found,"TIME (time.com, 2026, [TIME54](https://time.com/7380810/anti-aging-peptide-shots-social-media/)); ELLE (elle.com, Dec 17, 2025, [ELLE60](https://www.elle.com/beauty/sweat-and-skin/a42116788/peptide-shots-explained-interview/))"
3,“Chinese Baddie” Morning Hack (Chinamaxxing/#becomingChinese),Ancient Chinese wellness habits,Chinamaxxing; becomingChinese; Chinese baddie; drinking hot water; Tai Chi; Qigong; slippers in house; goji berries; jujubes; Traditional Chinese Medicine; yin and yang,Chinamaxxing (inkl.com); becomingChinese (inkl.com); Chinese baddie (inkl.com); drinking hot water (inkl.com); Tai Chi (inkl.com); Qigong (inkl.com); slippers in house (inkl.com); goji berries (scmp.com); jujubes (scmp.com); Traditional Chinese Medicine (inkl.com); yin and yang (inkl.com),#becomingChinese; #Chinamaxxing,"South China Morning Post (scmp.com, Feb 5, 2026, [SCMP87](https://www.scmp.com/lifestyle/food-drink/article/3342360/how-become-real-chinese-baddie-its-lot-more-just-drinking-hot-water)); Marie Claire (marieclaire.co.uk, 2026, [INKL90](https://www.inkl.com/news/i-tried-the-chinese-baddie-morning-hack-everyone-s-talking-about-my-honest-review))"
4,Silent Walking,"Mindful, phone-free walks",silent walk; dopamine; hot girl walk; stroll in silence; step away from earbuds,silent walk (bustle.com); hot girl walk (bustle.com); dopamine (bustle.com); stroll in silence (bustle.com); step away from earbuds (bustle.com),No related hashtags found,"Bustle (bustle.com, Aug 22, 2023, [YAH00](https://www.yahoo.com/lifestyle/silent-walking-hot-girl-walk-194405865.html))"
5,“50 Jumps Every Morning” Challenge,Viral TikTok jump-start routine,50 jumps challenge; energy boost; bone and muscle health,50 jumps challenge (tomsguide.com); energy boost (tomsguide.com); bone and muscle health (tomsguide.com),No related hashtags found,"Tom’s Guide (tomsguide.com, Jan 13, 2026, [TOM122](https://www.tomsguide.com/wellness/fitness/jumping-50-times-as-soon-as-you-wake-up-is-the-tiktok-trend-going-viral-and-it-claims-to-boost-energy-mood-and-metabolism))"
6,Three-Bite Rule,TikTok mindful eating fad,three bite rule; mindful eating; portion control; health hack,three bite rule (marieclaire.co.uk); mindful eating (marieclaire.co.uk); portion control (marieclaire.co.uk); health hack (marieclaire.co.uk),No related hashtags found,"Marie Claire UK (marieclaire.co.uk, Aug 18, 2025, [MC28](https://www.marieclaire.co.uk/life/health-fitness/tiktok-three-bite-rule))"
7,3×3 by 12 PM Rule,morning routine for productivity,3x3 rule; 30 grams protein; afternoon slump; energy boost; wellness hack,3x3 rule (bustle.com); 30 grams protein (bustle.com); afternoon slump (bustle.com); energy boost (bustle.com),No related hashtags found,"Bustle (bustle.com, Aug 20, 2025, [BUST144](https://www.bustle.com/wellness/three-by-three-3-3-rule-tiktok)); Fox News (foxnews.com, Oct 19, 2025, [FOX140](https://www.foxnews.com/health/viral-morning-wellness-routine-promises-more-energy-focus-noon)); Prevention (prevention.com, Sep 13, 2025, [PRE137](https://www.prevention.com/health/a66037719/3-by-3-by-12-morning-routine-tiktok/))"
8,Great Lock-In (Fall 2025),Year-end goal-setting challenge,great lock-in; better sleep; drink more water; limit screen time; meditating; tidying before bed; 10000 steps,"great lock-in (bustle.com); better sleep (bustle.com); drink more water (bustle.com); limit screen time (bustle.com); meditating (bustle.com); tidying before bed (bustle.com); 10,000 steps (bustle.com)",No related hashtags found,"Bustle (bustle.com, Sep 10, 2025, [BUST148](https://www.bustle.com/wellness/what-is-the-great-lock-in-2025-meaning-ideas-tiktok)); Tom’s Guide (tomsguide.com, Sep 5, 2025, [TOM152](https://www.tomsguide.com/wellness/fitness/forget-75-hard-tiktoks-new-great-lock-in-fitness-challenge-is-here-and-i-asked-the-experts-if-its-worth-your-time))"
9,75 Hotter Challenge,TikTok’s softer spin on “75 Hard”,75 Hotter challenge; lifestyle reset; balance over restriction; realistic wellness habits; flexible routine,75 Hotter challenge (vitarx.co); lifestyle reset (vitarx.co); balance over restriction (vitarx.co); realistic wellness habits (vitarx.co); flexible routine (vitarx.co),#75Hotter,"VITARx (vitarx.co, Oct 22, 2025, [VITA154](https://www.vitarx.co/resources/fitness-energy/what-is-the-75-hotter-challenge))"
10,Movement “Snacks”,Breaking exercise into short bursts (micro workouts),movement snacks; exercise snacks; short bursts of activity; mini workouts; functional mobility,movement snacks (inkl.com); exercise snacks (inkl.com); short bursts of activity (inkl.com); mini workouts (inkl.com); functional mobility (inkl.com),No related hashtags found,"Marie Claire (marieclaire.co.uk, Feb 20, 2024, [INKL165](https://www.inkl.com/news/move-over-hour-long-gym-sessions-movement-snacks-are-trending-as-the-way-to-get-in-your-best-shape-ever))"
